年度,地域コード,都道府県,総人口,男性総人口,女性総人口,日本人人口,日本人男性人口,日本人女性人口
2017,R46000,鹿児島県,1626000,763000,863000,1617000,761000,856000
2016,R46000,鹿児島県,1637000,768000,869000,1630000,766000,864000
2015,R46000,鹿児島県,1648177,773061,875116,1631662,766007,865655
2014,R46000,鹿児島県,1662000,778000,883000,1656000,777000,879000
2013,R46000,鹿児島県,1675000,784000,891000,1670000,783000,887000
2012,R46000,鹿児島県,1687000,789000,898000,1681000,787000,894000
2011,R46000,鹿児島県,1697000,793000,904000,1692000,792000,900000
2010,R46000,鹿児島県,1706242,796896,909346,1693314,791738,901576
2009,R46000,鹿児島県,1712000,799000,913000,1707000,797000,910000
2008,R46000,鹿児島県,1721000,803000,918000,1716000,801000,915000
2007,R46000,鹿児島県,1733000,809000,924000,1728000,808000,920000
2006,R46000,鹿児島県,1744000,815000,929000,1739000,814000,926000
2017,R47000,沖縄県,1443000,709000,734000,1429000,702000,728000
2016,R47000,沖縄県,1439000,708000,732000,1427000,701000,726000
2015,R47000,沖縄県,1433566,704619,728947,1410487,692392,718095
2014,R47000,沖縄県,1426000,700000,725000,1416000,695000,721000
2013,R47000,沖縄県,1419000,697000,722000,1410000,692000,718000
2012,R47000,沖縄県,1411000,693000,719000,1403000,688000,715000
2011,R47000,沖縄県,1402000,688000,714000,1395000,684000,711000
2010,R47000,沖縄県,1392818,683328,709490,1377248,675338,701910
2009,R47000,沖縄県,1385000,679000,706000,1377000,675000,702000
2008,R47000,沖縄県,1378000,675000,703000,1370000,671000,699000
2007,R47000,沖縄県,1374000,674000,700000,1367000,670000,697000
2006,R47000,沖縄県,1369000,672000,697000,1362000,668000,694000
